,testsize,neighbours,accuracy
0,0.1,2,0.804421247
1,0.1,3,0.814246239
2,0.1,4,0.819158735
3,0.1,5,0.824378262
4,0.1,6,0.827141541
5,0.1,7,0.830825913
6,0.1,8,0.828983727
7,0.1,9,0.834817317
8,0.1,10,0.831747006
9,0.1,11,0.830825913
10,0.1,12,0.830211851
11,0.1,13,0.836045441
12,0.1,14,0.837580596
13,0.1,15,0.834510286
14,0.2,2,0.810225702
15,0.2,3,0.818823891
16,0.2,4,0.825426071
17,0.2,5,0.829418087
18,0.2,6,0.828189774
19,0.2,7,0.832795947
20,0.2,8,0.83049286
21,0.2,9,0.831567634
22,0.2,10,0.833256564
23,0.2,11,0.830799939
24,0.2,12,0.83218179
25,0.2,13,0.831874712
26,0.2,14,0.832949486
27,0.2,15,0.832028251
28,0.3,2,0.811137271
29,0.3,3,0.820452452
30,0.3,4,0.82352339
31,0.3,5,0.827106152
32,0.3,6,0.8263896
33,0.3,7,0.83171256
34,0.3,8,0.829358174
35,0.3,9,0.832326748
36,0.3,10,0.832326748
37,0.3,11,0.830791279
38,0.3,12,0.830688914
39,0.3,13,0.834681134
40,0.3,14,0.835090593
41,0.3,15,0.833350394
42,0.4,2,0.809136276
43,0.4,3,0.81950096
44,0.4,4,0.818963532
45,0.4,5,0.823339731
46,0.4,6,0.824952015
47,0.4,7,0.828253359
48,0.4,8,0.826026871
49,0.4,9,0.828099808
50,0.4,10,0.828099808
51,0.4,11,0.829328215
52,0.4,12,0.828637236
53,0.4,13,0.831324376
54,0.4,14,0.829021113
55,0.4,15,0.829558541
0,0.1,15,0.8345102855388394
1,0.1,16,0.8363524715996316
2,0.1,17,0.8320540374577833
3,0.1,18,0.8357384095793675
4,0.1,19,0.8360454405894996
5,0.1,20,0.8342032545287074
6,0.1,21,0.8323610684679152
7,0.1,22,0.8357384095793675
8,0.1,23,0.8335891925084433
9,0.1,24,0.8366595026097636
10,0.1,25,0.8378876266502917
11,0.1,26,0.8348173165489714
12,0.1,27,0.8338962235185754
13,0.1,28,0.8332821614983114
14,0.1,29,0.8378876266502917
